case_study,brf,max_eval,prob_pas,q_indicator,value
train-ticket,moc_1.64,72,95,IGD+,0.08289411917333396
train-ticket,moc_1.64,72,95,IGD+,0.09930862155764951
train-ticket,moc_1.64,72,95,IGD+,0.06016120019291012
train-ticket,moc_1.64,72,95,EP,0.19079529212141735
train-ticket,moc_1.64,72,95,EP,0.2857653463091598
train-ticket,moc_1.64,72,95,EP,0.1809685064272783
train-ticket,moc_1.64,72,95,HV,0.5906801192301168
train-ticket,moc_1.64,72,95,HV,0.5378476641138992
train-ticket,moc_1.64,72,95,HV,0.6333391608113039
train-ticket,moc_1.64,72,95,GSPREAD,0.3598046118530699
train-ticket,moc_1.64,72,95,GSPREAD,0.5759091170493048
train-ticket,moc_1.64,72,95,GSPREAD,0.4687136340295199
train-ticket,moc_1.64,72,80,IGD+,0.0669114524417066
train-ticket,moc_1.64,72,80,IGD+,0.34168130890923765
train-ticket,moc_1.64,72,80,IGD+,0.41566149850399237
train-ticket,moc_1.64,72,80,EP,0.3110726038439884
train-ticket,moc_1.64,72,80,EP,0.5825610258092764
train-ticket,moc_1.64,72,80,EP,0.6620428751576293
train-ticket,moc_1.64,72,80,HV,0.5915227375644486
train-ticket,moc_1.64,72,80,HV,0.2037927870337573
train-ticket,moc_1.64,72,80,HV,0.13956660141992908
train-ticket,moc_1.64,72,80,GSPREAD,0.7194131117135546
train-ticket,moc_1.64,72,80,GSPREAD,0.2511573916582574
train-ticket,moc_1.64,72,80,GSPREAD,0.3592261163180472
train-ticket,moc_1.64,72,55,IGD+,0.1683878616493308
train-ticket,moc_1.64,72,55,IGD+,0.040987009451446454
train-ticket,moc_1.64,72,55,IGD+,0.27675003022186156
train-ticket,moc_1.64,72,55,EP,0.33265674011056406
train-ticket,moc_1.64,72,55,EP,0.1809685064272783
train-ticket,moc_1.64,72,55,EP,0.5800098796883786
train-ticket,moc_1.64,72,55,HV,0.5358514927813426
train-ticket,moc_1.64,72,55,HV,0.6996093715568088
train-ticket,moc_1.64,72,55,HV,0.23934383095509223
train-ticket,moc_1.64,72,55,GSPREAD,0.37021059736356343
train-ticket,moc_1.64,72,55,GSPREAD,0.42739852715300397
train-ticket,moc_1.64,72,55,GSPREAD,0.23752149740027692
train-ticket,moc_1.64,72,00,IGD+,0.8653836516853275
train-ticket,moc_1.64,72,00,IGD+,0.1328010456069059
train-ticket,moc_1.64,72,00,IGD+,0.2172590768180684
train-ticket,moc_1.64,72,00,EP,1.1360855227494404
train-ticket,moc_1.64,72,00,EP,0.25303821721519754
train-ticket,moc_1.64,72,00,EP,0.34421642725786555
train-ticket,moc_1.64,72,00,HV,0.0
train-ticket,moc_1.64,72,00,HV,0.5368071468577872
train-ticket,moc_1.64,72,00,HV,0.42216584348658215
train-ticket,moc_1.64,72,00,GSPREAD,1.0
train-ticket,moc_1.64,72,00,GSPREAD,0.4846452246985281
